id,company,author,rating,comment,date,top_critic,game_id
6115269b226e1e6e65313c7f,IGN Italy,Angelo Bianco,70.0,"Foreclosed is a good action game that mixes different elements of gameplay, with a very intriguing graphic novel style but which does not offer an adequate longevity.",2021-08-12T00:00:00.000Z,True,e6c849ba687b4ba88ad611428dc5f340
61152091226e1e6e65313c76,I Love Videogames,Pietro Iacullo,80.0,FORECLOSED is a musical cover of Max Payne played by someone with no fear to add and changes some chords,2021-08-12T00:00:00.000Z,False,e6c849ba687b4ba88ad611428dc5f340
5e1cc180117f2f0cdf3db8ef,Darkstation,Lee Mehr,30.0,"Whether it’s in respect to the repetitive gameplay structure, unsatisfying flight controls, or deflating brevity, there’s really no reason to see what the buzz is about. Bee Simulator is a well-meaning edutainment game but its honeymoon period is gone at breakneck speed. You’ve bee-n warned, and I’ve run out of puns.",2020-01-06T00:00:00.000Z,False,7f981fff99e44998bf0de031eec36925
5e0367ad71f25c74e73260d5,FNintendo,Ulisses Domingues,70.0,"Bee Simulator bears the markings of a fun action game, as well as of an educational experience. With its myriad of information about bees and an enjoyable, relaxing gameplay that will be welcomed by both children and adults, Bee Simulator would benefit from more precise controls, as well as from a more polished visual environment but nothing that precludes it from being a fun experience.",2019-12-25T00:00:00.000Z,True,7f981fff99e44998bf0de031eec36925
5e0095ac71f25c74e7325f65,DarkZero,Dominic Sheard,40.0,"The premise for Bee Simulator is good, and I like the idea of doing education through video games in such a uniquely refreshing way, but the execution here has problems.",2019-12-23T00:00:00.000Z,True,7f981fff99e44998bf0de031eec36925
5dfa1ab0239b721b0efd95c1,Impulsegamer,Andrew Pierce,50.0,"It wants so badly to be an educational game while being an actual game at the same time, and it never manages to make both elements work.",2019-12-18T00:00:00.000Z,True,7f981fff99e44998bf0de031eec36925
5df7cb22239b721b0efd9450,Nintendo Enthusiast,Dominick Ashtear,85.0,"Bee Simulator on the Nintendo Switch is a unique game experience that combines educational messages, fun mechanics, and a ton of bee puns.
",2019-12-14T00:00:00.000Z,True,7f981fff99e44998bf0de031eec36925
5de96065ad4f81777e1f4cf2,Pure Nintendo,Kirk Hiner,60.0,"Bee Simulator's flying mechanics will frustrate younger gamers, and its grade-school level presentation will turn away adults. If you're able to find some happy ground between the two of them, however, it's a thoughtful, educational, and fun way to live out the life of a bee.",2019-12-05T00:00:00.000Z,True,7f981fff99e44998bf0de031eec36925
5de59ffcad4f81777e1f40eb,Game Freaks 365,Kyle Bell,50.0,This is a good game for curious kids who want to learn about nature. Adults will get bored after a while.,2019-12-01T00:00:00.000Z,False,7f981fff99e44998bf0de031eec36925
5de01dcdad4f81777e1f3c84,AbsoluteXbox,Ben Ledsham,76.0,"Overall, I had a pleasantly surprising experience with Bee Simulator. I enjoyed the tone of the game, the art style and the depth to the level design. I liked being able to explore a world from a different perspective, investigating all the different nooks and crannies this game has to offer.",2019-11-28T00:00:00.000Z,False,7f981fff99e44998bf0de031eec36925
5ddf9e92ad4f81777e1f3bfe,Gamerheadquarters,Jason Stettner,68.0,"Bee Simulator delivers a fairly lengthy, and generally well done game that aims to provide educational elements to your journey.",2019-11-28T00:00:00.000Z,False,7f981fff99e44998bf0de031eec36925
5e4ba3bfbdf729557ef40be4,Checkpoint Gaming,Ed Fetahovic,65.0,"Bee Simulator’s visually stunning scenes should undoubtedly be appreciated. Whilst more effort could have been made to make the game more dynamic and exciting, I can’t deny the game succeeds in providing an interactive education system that would be a real win for younger audiences.",2019-11-26T00:00:00.000Z,False,7f981fff99e44998bf0de031eec36925
5ddd691ead4f81777e1f39f6,GameSpace,Chris Bowman,80.0,"Overall, my experience with Bee Simulator has been very positive. As someone whose father owns bees, it was cool to see things from the inside of the hive. Flying around and see things from a bee's perspective was also a very cool thing to play out. The game is available on Xbox One, PlayStation 4, Nintendo Switch, and PC for $39.99 USD.",2019-11-26T00:00:00.000Z,True,7f981fff99e44998bf0de031eec36925
5ddce81cad4f81777e1f37a1,AusGamers,Steve Farrelly,69.0,You'll even get trapped in spider webs and have to play a mini game in order to escape lest you be wrapped up as a meal for another day.,2019-11-26T00:00:00.000Z,True,7f981fff99e44998bf0de031eec36925
5ddbedaf66e2226fc0064580,Saving Content,Justin Celani,60.0,"The best part about Bee Simulator is just how unique of a concept it is. The game has a definite sense of style and by that I mean, it feels like the player is truly in the world we know but so much smaller. Running around and popping balloons with my stinger gave me the best sort of smile every time. The game also teaches players about bee’s and other interesting facts making this a game for the entire family. I don’t think Bee Simulator is going to blow anyways away, but at the same time I can see a lot of families and kids really enjoying this one. It’s just a simple, smile inducing title that stands out unique enough to give players something different to experience.",2019-11-25T00:00:00.000Z,False,7f981fff99e44998bf0de031eec36925
5ddd4f46ad4f81777e1f3826,COGconnected,Alex Everatt,76.0,Bee Simulator does a very good job of conveying the life of a bee while adding in enough gameplay elements to make it qualify as a game,2019-11-23T00:00:00.000Z,True,7f981fff99e44998bf0de031eec36925
5df2461cad4f81777e1f55a2,Thumb Culture,Philip Brook,40.0,"Bee Simulator is a massive disappointment. I was charmed and intrigued by the trailer but the gameplay is extremely repetitive. As nice as the world is the developers haven’t managed to make traversing it feel fun.

A child might find some wonder and limited educational value but otherwise I would strongly recommend you steer clear.

I give Bee Simulator the Thumb Culture Bronze award.",2019-11-20T00:00:00.000Z,False,7f981fff99e44998bf0de031eec36925
5dd58d5466e2226fc0063ecd,Windows Central,Jennifer Locke,50.0,"Bee Simulator is fun for a short time, but won't keep people's attention for long. Its charm can't save it from boredom. When you throw in the price tag, it's tough to recommend.",2019-11-20T00:00:00.000Z,True,7f981fff99e44998bf0de031eec36925
5dd58a0766e2226fc0063e99,GamePitt,Rob Pitt,70.0,"Despite not technically being a ‘simulation’ game, Bee Simulator is a fun edutainment title which was enjoyable to play through. Although there are many side-quests to complete once you’ve finished the main story, there are only a few mini-game formats included, meaning you’ll quickly grow tired of them unless you really like the games they offer. Visually I thought the game looked okay, for a ‘simulator’, but some of the assets are a little basic and the game is deprived of life – it’s like you’re within a theme park full of models or animatronics. If you have a few kids, the multiplayer mode will entertain them for a while as up to four players can play at the same time – which is a welcomed addition.",2019-11-20T00:00:00.000Z,False,7f981fff99e44998bf0de031eec36925
5dd4194e66e2226fc0063d1a,Nintendo Life,Jason Brown,50.0,"Bee Simulator is a surprisingly thoughtful game with bags of charm to spare, a wonderful soundtrack and a reasonably detailed world to explore. However, the experience is seriously soured by the sensitive controls, along with the punishing – and very frustrating – racing segments. A few visual and technical problems crop up as well, which – when added to the game's brevity and distinct lack of content (especially for this asking price) – all conspire to make Bee Simulator a much less successful undertaking that it could have been.",2019-11-19T00:00:00.000Z,True,7f981fff99e44998bf0de031eec36925
5dd2fb2c66e2226fc0063b1e,Push Square,Stephen Tailby,40.0,"As a game, Bee Simulator isn't all that enjoyable, but its heart is in the right place.",2019-11-18T00:00:00.000Z,True,7f981fff99e44998bf0de031eec36925
5dd2069f66e2226fc0063628,GamingTrend,Holly Hudspeth,50.0,"While I definitely appreciate the hard work that went into making this game, and the cute, fun graphics, this just isn't something I can see myself picking up again and playing, though I do believe this could be a fun game for young children to play together.",2019-11-17T00:00:00.000Z,True,7f981fff99e44998bf0de031eec36925
5deeadadad4f81777e1f51e7,Gamerweb.pl,Kamil Kościelniak,80.0,"Magnificient music and quite nice gameplay. First of all, a great educational game for children, but also older players can have fun.",2019-11-16T00:00:00.000Z,True,7f981fff99e44998bf0de031eec36925
5dd11d2f66e2226fc00635d8,WellPlayed,Kieron Verbrugge,70.0,"Calling it a simulator is a stretch, but this relaxed and friendly adventure does a great job at showcasing just how great bees are",2019-11-15T00:00:00.000Z,False,7f981fff99e44998bf0de031eec36925
5dcea3dc66e2226fc0063460,Critical Hit,Geoffrey Tim,45.0,"Bee Simulator is more of a kids action game than it is a simulator. While it has an undeniable charm, it's short, repetitive to a fault and feels like it's been hastily cobbled together.",2019-11-15T00:00:00.000Z,True,7f981fff99e44998bf0de031eec36925
5dce8da766e2226fc006344c,SECTOR.sk,Branislav Kohút,60.0,Good educational product but short and trivial game with low content and poor gameplay. At least there is split-screen multiplayer with four bees.,2019-11-15T00:00:00.000Z,True,7f981fff99e44998bf0de031eec36925
5eea7b99d88e035744c17de8,33bits,Jose Antonio Calvo Ceniceros,80.0,"Through a direct handling of a honey bee, Varsav proposes us a funny and very nice adventure, inside a realistic world full of humans and other animals. The Bee Simulator is a special experience. To the beehive, to our Queen and her 2500 eggs daily!",2019-11-14T00:00:00.000Z,False,7f981fff99e44998bf0de031eec36925
5dcd841066e2226fc0062e0a,Cultured Vultures,Nathan Gibson,50.0,"Only children are likely to find Bee Simulator an enjoyable experience as it offers very little value for money with its short campaign, lack of stimulating challenges, and repetitive gameplay.
",2019-11-14T00:00:00.000Z,True,7f981fff99e44998bf0de031eec36925
5dd4846566e2226fc0063de7,PC Invasion,Greg Bargas,80.0,"Bee Simulator completely nails the fluidity and speed of bee flight. This is a great tool to have when exploring the world within the game. It isn't a true simulation title. Rather, it throws in a story and collectibles for a wider audience. And if you're into learning new factoids about insects and animals, Bee Simulator wraps all these things into one. Be wary, though, as the NPCs can come off as empty and robotic, sometimes taking away from the immersion.",2019-11-13T00:00:00.000Z,True,7f981fff99e44998bf0de031eec36925
5dcbdc0366e2226fc00629e6,GameSpew,Kim Snaith,60.0,"Providing you’re not expecting too much from Bee Simulator, you’ll have a good time with the game. ",2019-11-12T00:00:00.000Z,True,7f981fff99e44998bf0de031eec36925
5dcb0e0466e2226fc0062966,PlayStation Universe,John-Paul Jones,70.0,"Though simplistic and lacking in some variety, Bee Simulator is a great introduction to open-world games that everybody can enjoy and is also a towering celebration of Mother Nature's most vital workforce.",2019-11-12T00:00:00.000Z,True,7f981fff99e44998bf0de031eec36925
617960d5df320323c613154f,SECTOR.sk,Ján Kordoš,45.0,Poor Tennis manager game without entertainment and licensing.,2021-10-27T00:00:00.000Z,True,725a964fc095473899047ce86e8c0276
6151c01f67d9ff8f6b3fa9e7,Oyungezer Online,Ares Aybar,60.0,"If you are into tennis or management simulation games, trying out this one would do you no harm.",2021-09-27T00:00:00.000Z,True,725a964fc095473899047ce86e8c0276
6148bf1a5807301248919724,33bits,Euyen Esquefa Pons,70.0,"Tennis Manager 2021 is a good first approximation of what a tennis manager should be. Other modalities are missing, such as doubles, for example. Also at the interface and functions level there is some other visual bug, certain elements of quality of life are missing, and some more information in the games. But it is certainly a good first step that could become as veteran a saga in its field as the saga in which it is clearly seen, Football Manager.",2021-09-20T00:00:00.000Z,False,725a964fc095473899047ce86e8c0276
6160684d9e65de2d02a17f03,RedTieGuy,Basil Frank,60.0,"Overall, the game can easily take you 6 - 8 hour to complete giving you some space to tackle on side activities. It is unfortunate that the game ultimately suffers from being released a bit too early as I felt that it did have a lot of potential.",2021-08-08T00:00:00.000Z,False,0eb875e7cf864f53999434bc1953729f
60f668f2b9cbeafd13a236ef,PSX Brasil,Thiago de Alencar Moura,40.0,"Necromunda: Hired Gun is a game that goes far from doing justice to the setting, having serious problems in its gameplay and a narrative that does not hold the player at any time. Add to that a vast amount of technical problems and it's a game to be avoided.",2021-07-20T00:00:00.000Z,True,0eb875e7cf864f53999434bc1953729f
6111441181dfdd2baab618f7,Enternity.gr,Konstantinos Kalkanis,30.0,"In the end, the Hired Gun could be a pleasant surprise, but the development team's choices are what keep it from shining.",2021-07-19T00:00:00.000Z,False,0eb875e7cf864f53999434bc1953729f
